gene_id	plot_id	seq_unit	Alevin-fry	Cell Ranger
ENSG00000132329	SCPCL000003 (Single-cell)	Single-cell	0.2202429149797571	0.1680327868852459
ENSG00000115685	SCPCL000003 (Single-cell)	Single-cell	0.07854251012145749	0.06967213114754098
ENSG00000168385	SCPCL000003 (Single-cell)	Single-cell	0.25101214574898784	0.25
ENSG00000182551	SCPCL000003 (Single-cell)	Single-cell	0.1368421052631579	0.13442622950819672
ENSG00000134308	SCPCL000003 (Single-cell)	Single-cell	0.22267206477732793	0.21885245901639344
ENSG00000068697	SCPCL000003 (Single-cell)	Single-cell	0.06963562753036437	0.06721311475409836
ENSG00000115128	SCPCL000003 (Single-cell)	Single-cell	0.11497975708502024	0.11311475409836065
ENSG00000184924	SCPCL000003 (Single-cell)	Single-cell	0.07368421052631578	0.06147540983606557
ENSG00000084754	SCPCL000003 (Single-cell)	Single-cell	0.07206477732793522	0.06475409836065574
ENSG00000228474	SCPCL000003 (Single-cell)	Single-cell	0.3214574898785425	0.30327868852459017
ENSG00000115944	SCPCL000003 (Single-cell)	Single-cell	0.13360323886639677	0.10983606557377049
ENSG00000143933	SCPCL000003 (Single-cell)	Single-cell	0.6267206477732794	1.0860655737704918
ENSG00000179915	SCPCL000003 (Single-cell)	Single-cell	0.23562753036437248	0.07295081967213114
ENSG00000115310	SCPCL000003 (Single-cell)	Single-cell	0.32793522267206476	0.30901639344262294
ENSG00000115355	SCPCL000003 (Single-cell)	Single-cell	0.12874493927125505	0.11147540983606558
ENSG00000115484	SCPCL000003 (Single-cell)	Single-cell	0.07773279352226721	0.07049180327868852
ENSG00000138069	SCPCL000003 (Single-cell)	Single-cell	0.08825910931174089	0.07213114754098361
ENSG00000143977	SCPCL000003 (Single-cell)	Single-cell	0.11174089068825911	0.1
ENSG00000124374	SCPCL000003 (Single-cell)	Single-cell	0.07449392712550608	0.09098360655737706
ENSG00000163541	SCPCL000003 (Single-cell)	Single-cell	0.0728744939271255	0.06229508196721312
ENSG00000115561	SCPCL000003 (Single-cell)	Single-cell	0.11659919028340081	0.1377049180327869
ENSG00000173272	SCPCL000003 (Single-cell)	Single-cell	0.3060728744939271	0.2319672131147541
ENSG00000115866	SCPCL000003 (Single-cell)	Single-cell	0.09068825910931175	0.07950819672131147
ENSG00000169554	SCPCL000003 (Single-cell)	Single-cell	0.19919028340080971	0.25573770491803277
ENSG00000162980	SCPCL000003 (Single-cell)	Single-cell	0.12955465587044535	0.09262295081967213
ENSG00000136541	SCPCL000003 (Single-cell)	Single-cell	0.11983805668016194	0.10573770491803279
ENSG00000138430	SCPCL000003 (Single-cell)	Single-cell	0.07854251012145749	0.060655737704918035
ENSG00000128656	SCPCL000003 (Single-cell)	Single-cell	0.30931174089068825	0.3819672131147541
ENSG00000154518	SCPCL000003 (Single-cell)	Single-cell	0.17165991902834007	0.16311475409836065
ENSG00000061676	SCPCL000003 (Single-cell)	Single-cell	0.08421052631578947	0.0778688524590164
ENSG00000144381	SCPCL000003 (Single-cell)	Single-cell	0.1417004048582996	0.13524590163934427
ENSG00000162944	SCPCL000003 (Single-cell)	Single-cell	0.09473684210526316	0.05983606557377049
ENSG00000115993	SCPCL000003 (Single-cell)	Single-cell	0.07368421052631578	0.07213114754098361
ENSG00000116030	SCPCL000003 (Single-cell)	Single-cell	0.13522267206477734	0.1180327868852459
ENSG00000115461	SCPCL000003 (Single-cell)	Single-cell	0.11902834008097166	0.130327868852459
ENSG00000135919	SCPCL000003 (Single-cell)	Single-cell	0.07206477732793522	0.06475409836065574
ENSG00000115053	SCPCL000003 (Single-cell)	Single-cell	0.17408906882591094	0.18524590163934426
ENSG00000144485	SCPCL000003 (Single-cell)	Single-cell	0.07368421052631578	0.07213114754098361
ENSG00000172428	SCPCL000003 (Single-cell)	Single-cell	0.49068825910931174	0.4377049180327869
ENSG00000130294	SCPCL000003 (Single-cell)	Single-cell	0.2550607287449393	0.2786885245901639
ENSG00000115677	SCPCL000003 (Single-cell)	Single-cell	0.07854251012145749	0.06311475409836066
ENSG00000254999	SCPCL000003 (Single-cell)	Single-cell	0.1854251012145749	0.1557377049180328
ENSG00000170860	SCPCL000003 (Single-cell)	Single-cell	0.145748987854251	0.130327868852459
ENSG00000144566	SCPCL000003 (Single-cell)	Single-cell	0.08178137651821862	0.06311475409836066
ENSG00000174748	SCPCL000003 (Single-cell)	Single-cell	1.8291497975708502	1.5491803278688525
ENSG00000168028	SCPCL000003 (Single-cell)	Single-cell	1.217004048582996	1.428688524590164
ENSG00000168314	SCPCL000003 (Single-cell)	Single-cell	0.588663967611336	0.6704918032786885
ENSG00000114784	SCPCL000003 (Single-cell)	Single-cell	0.09878542510121457	0.08934426229508197
ENSG00000188846	SCPCL000003 (Single-cell)	Single-cell	1.3659919028340082	1.1524590163934427
ENSG00000168036	SCPCL000003 (Single-cell)	Single-cell	0.09797570850202429	0.11147540983606558
ENSG00000232112	SCPCL000003 (Single-cell)	Single-cell	0.7643724696356275	0.7344262295081967
ENSG00000178057	SCPCL000003 (Single-cell)	Single-cell	0.08097165991902834	0.07622950819672131
ENSG00000114353	SCPCL000003 (Single-cell)	Single-cell	0.12712550607287448	0.12131147540983607
ENSG00000114902	SCPCL000003 (Single-cell)	Single-cell	0.14736842105263157	0.11885245901639344
ENSG00000175161	SCPCL000003 (Single-cell)	Single-cell	0.3384615384615385	0.08852459016393442
ENSG00000081154	SCPCL000003 (Single-cell)	Single-cell	0.1125506072874494	0.11065573770491803
ENSG00000144834	SCPCL000003 (Single-cell)	Single-cell	0.07206477732793522	0.07540983606557378
ENSG00000172020	SCPCL000003 (Single-cell)	Single-cell	0.4534412955465587	0.42540983606557375
ENSG00000113845	SCPCL000003 (Single-cell)	Single-cell	0.07530364372469636	0.06639344262295081
