sample_id	cell_type	fraction	reference	converged
SCPCS000016	NKcells	4.250949131203482e-11	Bref	TRUE
SCPCS000016	otherCells	0.9566177599286682	Bref	TRUE
SCPCS000017	Bcells	5.89939586937153e-4	Bref	TRUE
SCPCS000017	CD4_Tcells	0.00987757885035424	Bref	TRUE
SCPCS000017	CD8_Tcells	0.016815258765896134	Bref	TRUE
SCPCS000017	Monocytes	0.008595926999134026	Bref	TRUE
SCPCS000017	Neutrophils	0.024036222979013047	Bref	TRUE
SCPCS000017	NKcells	1.6375034493649715e-10	Bref	TRUE
SCPCS000017	otherCells	0.9400850726549151	Bref	TRUE
SCPCS000019	Bcells	8.730458564256608e-9	Bref	TRUE
SCPCS000019	CD4_Tcells	0.022691120567802904	Bref	TRUE
SCPCS000019	CD8_Tcells	0.0033986785346142613	Bref	TRUE
SCPCS000019	Monocytes	0.058933404852160136	Bref	TRUE
SCPCS000019	Neutrophils	0.001492891695869509	Bref	TRUE
SCPCS000019	NKcells	3.8620083976231465e-5	Bref	TRUE
SCPCS000019	otherCells	0.9134452755351183	Bref	TRUE
SCPCS000020	Bcells	5.502720973796761e-4	Bref	TRUE
SCPCS000020	CD4_Tcells	0.021463658858543486	Bref	TRUE
SCPCS000020	CD8_Tcells	0.015120525700991648	Bref	TRUE
SCPCS000020	Monocytes	0.013559820219140145	Bref	TRUE
SCPCS000020	Neutrophils	0.011805385569445399	Bref	TRUE
SCPCS000020	NKcells	6.400340835243722e-8	Bref	TRUE
SCPCS000020	otherCells	0.9375002735510912	Bref	TRUE
SCPCS000021	Bcells	2.9517731035274055e-8	Bref	TRUE
SCPCS000021	CD4_Tcells	0.02340112468472436	Bref	TRUE
SCPCS000021	CD8_Tcells	3.242903882504602e-9	Bref	TRUE
SCPCS000021	Monocytes	0.07663672662516073	Bref	TRUE
SCPCS000021	Neutrophils	0.0016471758336566954	Bref	TRUE
SCPCS000021	NKcells	0.0016363231917472653	Bref	TRUE
SCPCS000021	otherCells	0.896678616904076	Bref	TRUE
SCPCS000022	Bcells	9.136353425776132e-4	Bref	TRUE
SCPCS000022	CD4_Tcells	0.005749366369921179	Bref	TRUE
SCPCS000022	CD8_Tcells	0.011579539406484103	Bref	TRUE
SCPCS000022	Monocytes	0.022118969707896147	Bref	TRUE
SCPCS000022	Neutrophils	0.007013411690681994	Bref	TRUE
SCPCS000022	NKcells	5.989980490397811e-10	Bref	TRUE
SCPCS000022	otherCells	0.952625076883441	Bref	TRUE
