project_id	expression_type	sample_id	score_type	score
SCPCP000002	pseudobulk	SCPCS000030	immune	2671.5976856086672
SCPCP000002	pseudobulk	SCPCS000032	stromal	182.39269492696127
SCPCP000002	pseudobulk	SCPCS000032	immune	2657.0515601260345
SCPCP000002	pseudobulk	SCPCS000033	stromal	103.77053683798323
SCPCP000002	pseudobulk	SCPCS000033	immune	3010.2391616544273
SCPCP000002	pseudobulk	SCPCS000036	stromal	71.04206358181993
SCPCP000002	pseudobulk	SCPCS000036	immune	2762.0010713563493
SCPCP000002	pseudobulk	SCPCS000037	stromal	-176.67929125073684
SCPCP000002	pseudobulk	SCPCS000037	immune	1249.8619536978438
SCPCP000002	pseudobulk	SCPCS000038	stromal	218.4765013356644
SCPCP000002	pseudobulk	SCPCS000038	immune	3546.0260949177023
SCPCP000002	pseudobulk	SCPCS000039	stromal	-72.4910942784525
SCPCP000002	pseudobulk	SCPCS000039	immune	2450.6465056010275
SCPCP000002	pseudobulk	SCPCS000040	stromal	-1940.2356129090406
SCPCP000002	pseudobulk	SCPCS000040	immune	1570.3758845082284
SCPCP000002	pseudobulk	SCPCS000042	stromal	-65.00675451384603
SCPCP000002	pseudobulk	SCPCS000042	immune	2966.0825459629086
SCPCP000002	pseudobulk	SCPCS000044	stromal	-151.34035525568805
SCPCP000002	pseudobulk	SCPCS000044	immune	2014.0199917960886
SCPCP000002	pseudobulk	SCPCS000045	stromal	-387.75790840409053
SCPCP000002	pseudobulk	SCPCS000045	immune	2360.5569192343683
SCPCP000002	pseudobulk	SCPCS000046	stromal	180.90804646326688
SCPCP000002	pseudobulk	SCPCS000046	immune	2694.0528246355557
SCPCP000002	pseudobulk	SCPCS000047	stromal	38.75870866691727
SCPCP000002	pseudobulk	SCPCS000047	immune	2920.4979691977246
SCPCP000002	pseudobulk	SCPCS000048	stromal	-230.31235633102526
SCPCP000002	pseudobulk	SCPCS000048	immune	978.2386267970627
SCPCP000002	pseudobulk	SCPCS000049	stromal	129.37136573119204
SCPCP000002	pseudobulk	SCPCS000049	immune	3096.1288656350603
SCPCP000006	bulk_counts	SCPCS000168	stromal	-1616.4250044061782
SCPCP000006	bulk_counts	SCPCS000168	immune	-1972.7068453460788
SCPCP000006	bulk_counts	SCPCS000169	stromal	-905.4771084700691
SCPCP000006	bulk_counts	SCPCS000169	immune	-1594.1999014582693
SCPCP000006	bulk_counts	SCPCS000170	stromal	-1081.118856001851
SCPCP000006	bulk_counts	SCPCS000170	immune	-1846.0398594297942
SCPCP000006	bulk_counts	SCPCS000171	stromal	-676.6013727265015
SCPCP000006	bulk_counts	SCPCS000171	immune	-1724.476789146935
SCPCP000006	bulk_counts	SCPCS000172	stromal	-536.7343627327487
SCPCP000006	bulk_counts	SCPCS000172	immune	-1395.7168285123125
SCPCP000006	bulk_counts	SCPCS000173	stromal	-859.6237864981787
SCPCP000006	bulk_counts	SCPCS000173	immune	-1578.6138070995426
SCPCP000006	bulk_counts	SCPCS000174	stromal	343.8552763648425
SCPCP000006	bulk_counts	SCPCS000174	immune	-985.2243543481751
SCPCP000006	bulk_counts	SCPCS000175	stromal	876.5136977707393
SCPCP000006	bulk_counts	SCPCS000175	immune	-211.19453597045185
SCPCP000006	bulk_counts	SCPCS000176	stromal	-639.7009765367399
SCPCP000006	bulk_counts	SCPCS000176	immune	-1599.6909214821121
SCPCP000006	bulk_counts	SCPCS000177	stromal	-1006.0174857543446
SCPCP000006	bulk_counts	SCPCS000177	immune	-1315.4878660257584
SCPCP000006	bulk_counts	SCPCS000178	stromal	-1091.4930262832975
SCPCP000006	bulk_counts	SCPCS000178	immune	-1630.4219191527318
SCPCP000006	bulk_counts	SCPCS000179	stromal	-1166.8252861667127
SCPCP000006	bulk_counts	SCPCS000179	immune	-923.1679981289351
SCPCP000006	bulk_counts	SCPCS000180	stromal	-1048.8203853182206
SCPCP000006	bulk_counts	SCPCS000180	immune	-1737.517702452674
SCPCP000006	bulk_counts	SCPCS000181	stromal	-1304.2474657480673
SCPCP000006	bulk_counts	SCPCS000181	immune	-2140.3233404776083
SCPCP000006	bulk_counts	SCPCS000182	stromal	-1329.145143893286
SCPCP000006	bulk_counts	SCPCS000182	immune	-2006.235596993288
SCPCP000006	bulk_counts	SCPCS000183	stromal	857.254139687606
SCPCP000006	bulk_counts	SCPCS000183	immune	-964.7525683080479
SCPCP000006	bulk_counts	SCPCS000184	stromal	-1215.442678951821
SCPCP000006	bulk_counts	SCPCS000184	immune	-1624.8554561580738
SCPCP000006	bulk_counts	SCPCS000185	stromal	-490.6443596184966
SCPCP000006	bulk_counts	SCPCS000185	immune	-1223.4902872670007
SCPCP000006	bulk_counts	SCPCS000186	stromal	-1111.986045747272
SCPCP000006	bulk_counts	SCPCS000186	immune	-2070.3671186581623
SCPCP000006	bulk_counts	SCPCS000188	stromal	-550.7493619345145
SCPCP000006	bulk_counts	SCPCS000188	immune	-1638.2462049950464
SCPCP000006	bulk_counts	SCPCS000189	stromal	-1088.71730404392
SCPCP000006	bulk_counts	SCPCS000189	immune	-1525.6433279462144
SCPCP000006	bulk_counts	SCPCS000190	stromal	-1471.8901861389165
SCPCP000006	bulk_counts	SCPCS000190	immune	-1971.3272775958135
SCPCP000006	bulk_counts	SCPCS000191	stromal	-189.20126116597496
SCPCP000006	bulk_counts	SCPCS000191	immune	-1532.2599903311734
SCPCP000006	bulk_counts	SCPCS000192	stromal	-1244.8162425893784
SCPCP000006	bulk_counts	SCPCS000192	immune	-1638.7256759915465
SCPCP000006	bulk_counts	SCPCS000193	stromal	1240.900295580665
SCPCP000006	bulk_counts	SCPCS000193	immune	167.16271212620006
SCPCP000006	bulk_counts	SCPCS000194	stromal	1095.5834709805242
SCPCP000006	bulk_counts	SCPCS000194	immune	551.1359862839413
SCPCP000006	bulk_counts	SCPCS000195	stromal	1359.333560132989
SCPCP000006	bulk_counts	SCPCS000195	immune	1062.544512007066
SCPCP000006	bulk_counts	SCPCS000196	stromal	596.8361356042416
SCPCP000006	bulk_counts	SCPCS000196	immune	-1259.74466163544
SCPCP000006	bulk_counts	SCPCS000197	stromal	-1058.4963248401896
SCPCP000006	bulk_counts	SCPCS000197	immune	-1597.850081839975
SCPCP000006	bulk_counts	SCPCS000198	stromal	95.15784784923932
SCPCP000006	bulk_counts	SCPCS000198	immune	-1211.3931737056575
SCPCP000006	bulk_counts	SCPCS000199	stromal	-1653.0142868182627
SCPCP000006	bulk_counts	SCPCS000199	immune	-2263.6699044275333
SCPCP000006	bulk_counts	SCPCS000200	stromal	-1263.708796569173
SCPCP000006	bulk_counts	SCPCS000200	immune	-1934.1031102277557
SCPCP000006	bulk_counts	SCPCS000201	stromal	103.25616896233207
SCPCP000006	bulk_counts	SCPCS000201	immune	-1017.4778282103944
SCPCP000006	bulk_counts	SCPCS000202	stromal	-665.9000369629831
SCPCP000006	bulk_counts	SCPCS000202	immune	-1804.723182225524
